Isotope      A            Z            YIELD 
H            1            1            3.32520E+00  
He4          4            2            1.67020E+00  
C12          12           6            6.67890E-03  
C13          13           6            2.30530E-04  
C14          14           6            8.26590E-08  
N14          14           7            9.48120E-03  
N15          15           7            4.45120E-06  
O16          16           8            1.92640E-02  
O17          17           8            5.54230E-05  
O18          18           8            3.02410E-05  
F18          18           9            0.00000E+00  
F19          19           9            1.35080E-06  
Ne20         20           10           3.90030E-03  
Ne21         21           10           1.80170E-05  
Ne22         22           10           3.36020E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.05960E-04  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.95090E-03  
Mg25         25           12           2.36330E-04  
Mg26         26           12           3.26610E-04  
Al26         26           13           2.46470E-07  
Al27         27           13           2.25810E-04  
Si28         28           14           2.54480E-03  
Si29         29           14           1.33970E-04  
Si30         30           14           9.15860E-05  
Si31         31           14           0.00000E+00  
Si32         32           14           5.55060E-13  
P31          31           15           2.37880E-05  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.33620E-03  
S33          33           16           1.09050E-05  
S34          34           16           6.31530E-05  
S35          35           16           0.00000E+00  
S36          36           16           2.77490E-07  
Cl35         35           17           1.36870E-05  
Cl36         36           17           3.05390E-09  
Cl37         37           17           4.71560E-06  
Ar36         36           18           3.06440E-04  
Ar37         37           18           0.00000E+00  
Ar38         38           18           5.89080E-05  
Ar39         39           18           1.18950E-10  
Ar40         40           18           1.05870E-07  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.27090E-05  
K40          40           19           2.04950E-08  
K41          41           19           9.80220E-07  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           2.29810E-04  
Ca41         41           20           1.18160E-08  
Ca42         42           20           1.61890E-06  
Ca43         43           20           3.45810E-07  
Ca44         44           20           5.44360E-06  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.17250E-08  
Ca47         47           20           0.00000E+00  
Ca48         48           20           5.32160E-07  
Sc45         45           21           1.52080E-07  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           8.95910E-07  
Ti47         47           22           8.23550E-07  
Ti48         48           22           8.34100E-06  
Ti49         49           22           6.34880E-07  
Ti50         50           22           6.20510E-07  
V50          50           23           3.53300E-09  
V51          51           23           1.44510E-06  
Cr50         50           24           2.80990E-06  
Cr51         51           24           0.00000E+00  
Cr52         52           24           5.64820E-05  
Cr53         53           24           6.51950E-06  
Cr54         54           24           1.69610E-06  
Mn55         55           25           4.95250E-05  
Mn56         56           25           0.00000E+00  
Fe54         54           26           2.69920E-04  
Fe55         55           26           2.83440E-12  
Fe56         56           26           4.40000E-03  
Fe57         57           26           1.04630E-04  
Fe58         58           26           1.54440E-05  
Fe59         59           26           0.00000E+00  
Fe60         60           26           9.13150E-08  
Co59         59           27           1.33420E-05  
Co60         60           27           2.64620E-13  
Ni58         58           28           1.85640E-04  
Ni59         59           28           5.39680E-08  
Ni60         60           28           7.42020E-05  
Ni61         61           28           3.39220E-06  
Ni62         62           28           1.07680E-05  
Ni63         63           28           3.32880E-10  
Ni64         64           28           2.86870E-06  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           2.33320E-06  
Cu64         64           29           0.00000E+00  
Cu65         65           29           1.05890E-06  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           3.85290E-06  
Zn65         65           30           0.00000E+00  
Zn66         66           30           2.29570E-06  
Zn67         67           30           3.44280E-07  
Zn68         68           30           1.59840E-06  
Zn69         69           30           0.00000E+00  
Zn70         70           30           5.37430E-08  
Ga69         69           31           1.51400E-07  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.02840E-07  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.79890E-07  
Ge71         71           32           0.00000E+00  
Ge72         72           32           2.39670E-07  
Ge73         73           32           6.78360E-08  
Ge74         74           32           3.21800E-07  
Ge75         75           32           0.00000E+00  
Ge76         76           32           6.69100E-08  
Ge77         77           32           0.00000E+00  
As75         75           33           4.50860E-08  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           4.87040E-08  
Se77         77           34           3.92250E-08  
Se78         78           34           1.26280E-07  
Se79         79           34           7.57780E-10  
Se80         80           34           2.68790E-07  
Se81         81           34           0.00000E+00  
Se82         82           34           4.48430E-08  
Br79         79           35           4.45070E-08  
Br80         80           35           0.00000E+00  
Br81         81           35           4.55090E-08  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.04840E-08  
Kr81         81           36           7.64250E-11  
Kr82         82           36           5.40880E-08  
Kr83         83           36           5.24700E-08  
Kr84         84           36           2.64120E-07  
Kr85         85           36           0.00000E+00  
Kr86         86           36           9.27610E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           4.16360E-08  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.99220E-08  
Rb88         88           37           0.00000E+00  
Sr86         86           38           2.10570E-08  
Sr87         87           38           1.57190E-08  
Sr88         88           38           1.93590E-07  
Sr89         89           38           0.00000E+00  
Sr90         90           38           4.12180E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           4.72260E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           5.90770E-08  
Zr91         91           40           1.36160E-08  
Zr92         92           40           2.11620E-08  
Zr93         93           40           1.28760E-09  
Zr94         94           40           2.26630E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           4.18720E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           6.91850E-09  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           3.77280E-09  
Mo93         93           42           0.00000E+00  
Mo94         94           42           2.44210E-09  
Mo95         95           42           4.76070E-09  
Mo96         96           42           5.32550E-09  
Mo97         97           42           2.90770E-09  
Mo98         98           42           7.66270E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           2.74130E-09  
Tc97         97           43           2.13140E-12  
Tc98         98           43           0.00000E+00  
Tc99         99           43           1.37380E-10  
Ru96         96           44           9.48090E-10  
Ru97         97           44           0.00000E+00  
Ru98         98           44           3.27120E-10  
Ru99         99           44           2.26690E-09  
Ru00         100          44           2.77160E-09  
Ru01         101          44           3.16870E-09  
Ru02         102          44           6.51360E-09  
Ru03         103          44           0.00000E+00  
Ru04         104          44           3.53240E-09  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           3.78470E-09  
Rh05         105          45           0.00000E+00  
Pd04         104          46           2.06350E-09  
Pd05         105          46           3.43800E-09  
Pd06         106          46           4.65980E-09  
Pd07         107          46           1.08260E-10  
Pd08         108          46           4.69370E-09  
Pd09         109          46           0.00000E+00  
Pd10         110          46           1.85570E-09  
Ag07         107          47           2.64550E-09  
Ag09         109          47           2.69530E-09  
Ag11         111          47           0.00000E+00  
Cd08         108          48           1.73720E-10  
Cd09         109          48           0.00000E+00  
Cd10         110          48           2.64160E-09  
Cd11         111          48           2.37880E-09  
Cd12         112          48           4.89080E-09  
Cd13         113          48           2.34090E-09  
Cd14         114          48           6.10160E-09  
Cd15         115          48           0.00000E+00  
Cd16         116          48           1.56340E-09  
In13         113          49           8.65780E-11  
In15         115          49           2.16210E-09  
Sn14         114          50           2.74990E-10  
Sn15         115          50           1.42370E-10  
Sn16         116          50           7.44490E-09  
Sn17         117          50           3.69740E-09  
Sn18         118          50           1.25290E-08  
Sn19         119          50           4.36260E-09  
Sn20         120          50           1.78040E-08  
Sn21         121          50           0.00000E+00  
Sn22         122          50           2.59720E-09  
Sn23         123          50           0.00000E+00  
Sn24         124          50           2.64150E-09  
Sb21         121          51           2.51970E-09  
Sb22         122          51           0.00000E+00  
Sb23         123          51           1.78770E-09  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           1.90050E-09  
Te23         123          52           6.62790E-10  
Te24         124          52           3.65620E-09  
Te25         125          52           4.45210E-09  
Te26         126          52           1.27840E-08  
Te27         127          52           0.00000E+00  
Te28         128          52           1.92440E-08  
Te30         130          52           2.06780E-08  
I127         127          53           1.25820E-08  
I128         128          53           0.00000E+00  
I129         129          53           6.73730E-12  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           2.08170E-09  
Xe29         129          54           1.87360E-08  
Xe30         130          54           4.19320E-09  
Xe31         131          54           1.52620E-08  
Xe32         132          54           2.05510E-08  
Xe33         133          54           0.00000E+00  
Xe34         134          54           7.30010E-09  
Xe35         135          54           0.00000E+00  
Xe36         136          54           5.66590E-09  
Cs33         133          55           5.02980E-09  
Cs34         134          55           0.00000E+00  
Cs35         135          55           2.28920E-10  
Cs36         136          55           0.00000E+00  
Cs37         137          55           5.90860E-13  
Ba34         134          56           2.09030E-09  
Ba35         135          56           4.09200E-09  
Ba36         136          56           6.74700E-09  
Ba37         137          56           8.91360E-09  
Ba38         138          56           6.75680E-08  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           8.82180E-09  
La40         140          57           0.00000E+00  
Ce40         140          58           2.17450E-08  
Ce41         141          58           0.00000E+00  
Ce42         142          58           2.43330E-09  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           3.24000E-09  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           4.80850E-09  
Nd43         143          60           1.74740E-09  
Nd44         144          60           3.86050E-09  
Nd45         145          60           1.17900E-09  
Nd46         146          60           2.98110E-09  
Nd47         147          60           0.00000E+00  
Nd48         148          60           8.74840E-10  
Nd49         149          60           0.00000E+00  
Nd50         150          60           6.91290E-10  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           1.11630E-10  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           6.67070E-10  
Sm48         148          62           6.39690E-10  
Sm49         149          62           5.61390E-10  
Sm50         150          62           4.86070E-10  
Sm51         151          62           0.00000E+00  
Sm52         152          62           1.19550E-09  
Sm53         153          62           0.00000E+00  
Sm54         154          62           9.62490E-10  
Eu51         151          63           6.92870E-10  
Eu52         152          63           0.00000E+00  
Eu53         153          63           7.76300E-10  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           2.13590E-11  
Gd53         153          64           0.00000E+00  
Gd54         154          64           1.65200E-10  
Gd55         155          64           7.87840E-10  
Gd56         156          64           1.18620E-09  
Gd57         157          64           8.62260E-10  
Gd58         158          64           1.53940E-09  
Gd59         159          64           0.00000E+00  
Gd60         160          64           1.19450E-09  
Tb59         159          65           9.71810E-10  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           2.37010E-10  
Dy61         161          66           1.19550E-09  
Dy62         162          66           1.77970E-09  
Dy63         163          66           1.59110E-09  
Dy64         164          66           2.06000E-09  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           5.24270E-12  
Ho64         164          67           0.00000E+00  
Ho65         165          67           1.51000E-09  
Ho66         166          67           0.00000E+00  
Er64         164          68           1.04300E-10  
Er65         165          68           0.00000E+00  
Er66         166          68           1.53540E-09  
Er67         167          68           1.02060E-09  
Er68         168          68           1.37850E-09  
Er69         169          68           0.00000E+00  
Er70         170          68           7.53940E-10  
