Isotope      A            Z            YIELD 
H            1            1            -2.24080E-02 
He4          4            2            2.00310E-02  
C12          12           6            1.07230E-03  
C13          13           6            3.63640E-05  
C14          14           6            2.75730E-11  
N14          14           7            7.02230E-04  
N15          15           7            -1.00100E-06 
O16          16           8            6.77710E-06  
O17          17           8            4.31020E-06  
O18          18           8            -2.66820E-06 
F18          18           9            0.00000E+00  
F19          19           9            1.16220E-07  
Ne20         20           10           -9.51990E-07 
Ne21         21           10           1.14000E-08  
Ne22         22           10           1.17180E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           3.74780E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.30690E-06  
Mg25         25           12           -2.73370E-07 
Mg26         26           12           3.90560E-07  
Al26         26           13           1.31300E-07  
Al27         27           13           2.40410E-07  
Si28         28           14           -1.49390E-08 
Si29         29           14           1.36840E-08  
Si30         30           14           1.10460E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           5.65910E-08  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -1.31660E-07 
S33          33           16           1.55380E-08  
S34          34           16           5.63930E-08  
S35          35           16           0.00000E+00  
S36          36           16           4.20440E-09  
Cl35         35           17           -4.53820E-09 
Cl36         36           17           3.82470E-10  
Cl37         37           17           3.92500E-08  
Ar36         36           18           -9.99740E-08 
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.95930E-08  
Ar39         39           18           6.39050E-13  
Ar40         40           18           3.27840E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           5.62350E-09  
K40          40           19           -1.12970E-09 
K41          41           19           8.33260E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -5.73670E-08 
Ca41         41           20           8.94870E-10  
Ca42         42           20           5.46740E-09  
Ca43         43           20           9.40440E-10  
Ca44         44           20           3.15660E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.36800E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -2.95410E-11 
Sc45         45           21           8.65960E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.16660E-09  
Ti47         47           22           -2.25290E-10 
Ti48         48           22           -4.59770E-09 
Ti49         49           22           4.51770E-09  
Ti50         50           22           8.04370E-09  
V50          50           23           -3.07590E-12 
V51          51           23           -1.99940E-10 
Cr50         50           24           -2.49630E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -1.02430E-08 
Cr53         53           24           -2.72900E-09 
Cr54         54           24           1.16710E-08  
Mn55         55           25           2.08650E-08  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -1.94370E-07 
Fe55         55           26           2.58870E-13  
Fe56         56           26           -1.03270E-06 
Fe57         57           26           3.82960E-07  
Fe58         58           26           4.74880E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           8.30700E-09  
Co59         59           27           9.87510E-08  
Co60         60           27           0.00000E+00  
Ni58         58           28           -1.28210E-07 
Ni59         59           28           4.18260E-09  
Ni60         60           28           3.67840E-08  
Ni61         61           28           3.07720E-08  
Ni62         62           28           4.96000E-08  
Ni63         63           28           1.46260E-13  
Ni64         64           28           3.60670E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.75210E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           1.06430E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           3.31680E-09  
Zn65         65           30           0.00000E+00  
Zn66         66           30           1.10480E-08  
Zn67         67           30           2.61870E-09  
Zn68         68           30           1.55080E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           -1.96010E-11 
Ga69         69           31           2.99760E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           3.14010E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           5.31420E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           5.76610E-09  
Ge73         73           32           1.59410E-09  
Ge74         74           32           8.14380E-09  
Ge75         75           32           0.00000E+00  
Ge76         76           32           -3.20940E-11 
Ge77         77           32           0.00000E+00  
As75         75           33           7.15470E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           2.97150E-09  
Se77         77           34           1.19010E-09  
Se78         78           34           4.46100E-09  
Se79         79           34           6.78230E-10  
Se80         80           34           9.71660E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           -4.27060E-12 
Br79         79           35           6.62740E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           1.49250E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           6.89860E-10  
Kr81         81           36           1.48530E-10  
Kr82         82           36           5.61680E-09  
Kr83         83           36           1.84180E-09  
Kr84         84           36           1.23630E-08  
Kr85         85           36           0.00000E+00  
Kr86         86           36           3.13480E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           2.29350E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.26450E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           6.25040E-09  
Sr87         87           38           3.89710E-09  
Sr88         88           38           9.35780E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           1.96290E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           2.13180E-08  
Zr91         91           40           5.10980E-09  
Zr92         92           40           8.64320E-09  
Zr93         93           40           2.58470E-09  
Zr94         94           40           1.19650E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           7.17800E-10  
Zr97         97           40           0.00000E+00  
Nb93         93           41           3.88610E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -3.67020E-12 
Mo93         93           42           0.00000E+00  
Mo94         94           42           6.43340E-11  
Mo95         95           42           1.16800E-09  
Mo96         96           42           2.45430E-09  
Mo97         97           42           8.60760E-10  
Mo98         98           42           3.03850E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           3.93740E-11  
Tc97         97           43           1.39750E-13  
Tc98         98           43           0.00000E+00  
Tc99         99           43           1.69780E-10  
