Isotope      A            Z            YIELD 
H            1            1            -3.89510E-02 
He4          4            2            3.09910E-02  
C12          12           6            4.92790E-03  
C13          13           6            7.60060E-05  
C14          14           6            3.37680E-09  
N14          14           7            1.80140E-03  
N15          15           7            -2.83500E-06 
O16          16           8            -9.64930E-05 
O17          17           8            3.53220E-05  
O18          18           8            -7.62720E-06 
F18          18           9            0.00000E+00  
F19          19           9            8.62550E-07  
Ne20         20           10           -2.70730E-06 
Ne21         21           10           5.16870E-08  
Ne22         22           10           8.22610E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.52910E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           8.61110E-06  
Mg25         25           12           -2.44650E-07 
Mg26         26           12           3.61610E-06  
Al26         26           13           5.08270E-07  
Al27         27           13           9.39440E-07  
Si28         28           14           -1.04770E-07 
Si29         29           14           9.08530E-08  
Si30         30           14           5.56800E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           3.46340E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -7.22830E-07 
S33          33           16           1.05100E-07  
S34          34           16           2.56090E-07  
S35          35           16           0.00000E+00  
S36          36           16           2.19430E-08  
Cl35         35           17           -2.38030E-08 
Cl36         36           17           2.18940E-09  
Cl37         37           17           2.44900E-07  
Ar36         36           18           -5.33230E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.51470E-07  
Ar39         39           18           2.53240E-12  
Ar40         40           18           1.77620E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           3.55750E-08  
K40          40           19           7.67640E-09  
K41          41           19           4.99310E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -3.20790E-07 
Ca41         41           20           6.74130E-09  
Ca42         42           20           2.91530E-08  
Ca43         43           20           5.11040E-09  
Ca44         44           20           2.33670E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           8.63940E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -1.69550E-10 
Sc45         45           21           4.98480E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           8.33860E-09  
Ti47         47           22           -7.95540E-10 
Ti48         48           22           -2.20480E-08 
Ti49         49           22           2.45400E-08  
Ti50         50           22           4.08370E-08  
V50          50           23           -1.65800E-11 
V51          51           23           6.35180E-10  
Cr50         50           24           -1.34380E-08 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -6.00450E-08 
Cr53         53           24           -1.33480E-08 
Cr54         54           24           5.85840E-08  
Mn55         55           25           1.85680E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -9.96280E-07 
Fe55         55           26           1.40500E-12  
Fe56         56           26           -5.94590E-06 
Fe57         57           26           2.16650E-06  
Fe58         58           26           2.19920E-06  
Fe59         59           26           0.00000E+00  
Fe60         60           26           3.54040E-08  
Co59         59           27           5.36040E-07  
Co60         60           27           1.24370E-13  
Ni58         58           28           -6.75160E-07 
Ni59         59           28           3.89430E-08  
Ni60         60           28           2.06910E-07  
Ni61         61           28           1.74960E-07  
Ni62         62           28           2.85590E-07  
Ni63         63           28           7.57100E-13  
Ni64         64           28           3.05120E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.00370E-07  
Cu64         64           29           0.00000E+00  
Cu65         65           29           9.86210E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           3.60280E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           1.09470E-07  
Zn67         67           30           2.49010E-08  
Zn68         68           30           1.44020E-07  
Zn69         69           30           0.00000E+00  
Zn70         70           30           -1.02240E-10 
Ga69         69           31           2.77330E-08  
Ga70         70           31           0.00000E+00  
Ga71         71           31           3.04180E-08  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           5.03790E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           5.53950E-08  
Ge73         73           32           1.53450E-08  
Ge74         74           32           7.61320E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           -1.71760E-10 
Ge77         77           32           0.00000E+00  
As75         75           33           6.77250E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           2.75040E-08  
Se77         77           34           1.10600E-08  
Se78         78           34           4.12970E-08  
Se79         79           34           4.78860E-09  
Se80         80           34           8.20430E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           -3.01480E-11 
Br79         79           35           6.51940E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           1.38670E-08  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           8.01500E-09  
Kr81         81           36           1.50100E-09  
Kr82         82           36           5.24100E-08  
Kr83         83           36           1.71240E-08  
Kr84         84           36           1.06500E-07  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.34990E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           1.79780E-08  
Rb86         86           37           0.00000E+00  
Rb87         87           37           5.06830E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           5.51780E-08  
Sr87         87           38           3.55390E-08  
Sr88         88           38           6.18830E-07  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           1.17130E-07  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           1.19200E-07  
Zr91         91           40           2.74460E-08  
Zr92         92           40           4.35740E-08  
Zr93         93           40           1.21300E-08  
Zr94         94           40           5.67420E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           8.72660E-10  
Zr97         97           40           0.00000E+00  
Nb93         93           41           2.60000E-09  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -2.05100E-11 
Mo93         93           42           0.00000E+00  
Mo94         94           42           4.90130E-10  
Mo95         95           42           5.44570E-09  
Mo96         96           42           1.16090E-08  
Mo97         97           42           3.99990E-09  
Mo98         98           42           1.41960E-08  
Mo99         99           42           0.00000E+00  
Mo00         100          42           7.14080E-11  
Tc97         97           43           1.01460E-12  
Tc98         98           43           1.65630E-13  
Tc99         99           43           6.41220E-10  
Ru96         96           44           -7.99990E-12 
Ru97         97           44           0.00000E+00  
Ru98         98           44           -1.23370E-12 
Ru99         99           44           1.29870E-09  
Ru00         100          44           7.03660E-09  
Ru01         101          44           1.50390E-09  
