Isotope      A            Z            YIELD 
H            1            1            9.38350E-01  
He4          4            2            3.95740E-01  
C12          12           6            8.26870E-03  
C13          13           6            8.85270E-05  
C14          14           6            1.23780E-10  
N14          14           7            2.28650E-03  
N15          15           7            1.92410E-06  
O16          16           8            8.25460E-03  
O17          17           8            3.46210E-05  
O18          18           8            1.31070E-05  
F18          18           9            0.00000E+00  
F19          19           9            1.25180E-06  
Ne20         20           10           1.45270E-03  
Ne21         21           10           3.72970E-06  
Ne22         22           10           7.25750E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           6.63060E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           7.34680E-04  
Mg25         25           12           9.62880E-05  
Mg26         26           12           1.12310E-04  
Al26         26           13           2.79340E-07  
Al27         27           13           8.31150E-05  
Si28         28           14           9.45070E-04  
Si29         29           14           4.97750E-05  
Si30         30           14           3.42830E-05  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           9.09330E-06  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           4.96530E-04  
S33          33           16           4.12180E-06  
S34          34           16           2.36050E-05  
S35          35           16           0.00000E+00  
S36          36           16           1.15880E-07  
Cl35         35           17           5.07690E-06  
Cl36         36           17           1.37640E-09  
Cl37         37           17           1.88540E-06  
Ar36         36           18           1.13670E-04  
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.19880E-05  
Ar39         39           18           2.50290E-12  
Ar40         40           18           5.13620E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           4.74650E-06  
K40          40           19           1.16490E-08  
K41          41           19           3.92850E-07  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           8.52780E-05  
Ca41         41           20           3.97220E-09  
Ca42         42           20           6.19400E-07  
Ca43         43           20           1.31600E-07  
Ca44         44           20           2.04150E-06  
Ca45         45           20           0.00000E+00  
Ca46         46           20           4.68790E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.97790E-07  
Sc45         45           21           5.95260E-08  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           3.39580E-07  
Ti47         47           22           3.06510E-07  
Ti48         48           22           3.09120E-06  
Ti49         49           22           2.50550E-07  
Ti50         50           22           2.65750E-07  
V50          50           23           1.30610E-09  
V51          51           23           5.37570E-07  
Cr50         50           24           1.03870E-06  
Cr51         51           24           0.00000E+00  
Cr52         52           24           2.09730E-05  
Cr53         53           24           2.42010E-06  
Cr54         54           24           6.56110E-07  
Mn55         55           25           1.84800E-05  
Mn56         56           25           0.00000E+00  
Fe54         54           26           9.98950E-05  
Fe55         55           26           1.78230E-12  
Fe56         56           26           1.63310E-03  
Fe57         57           26           4.00250E-05  
Fe58         58           26           6.68770E-06  
Fe59         59           26           0.00000E+00  
Fe60         60           26           2.33720E-08  
Co59         59           27           5.19690E-06  
Co60         60           27           0.00000E+00  
Ni58         58           28           6.86760E-05  
Ni59         59           28           2.37940E-08  
Ni60         60           28           2.76790E-05  
Ni61         61           28           1.33260E-06  
Ni62         62           28           4.12450E-06  
Ni63         63           28           8.44920E-13  
Ni64         64           28           1.22640E-06  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           9.02310E-07  
Cu64         64           29           0.00000E+00  
Cu65         65           29           4.44730E-07  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           1.45410E-06  
Zn65         65           30           0.00000E+00  
Zn66         66           30           9.13960E-07  
Zn67         67           30           1.41660E-07  
Zn68         68           30           6.75360E-07  
Zn69         69           30           0.00000E+00  
Zn70         70           30           1.99170E-08  
Ga69         69           31           7.18190E-08  
Ga70         70           31           0.00000E+00  
Ga71         71           31           5.63250E-08  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           9.60940E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.21820E-07  
Ge73         73           32           3.43300E-08  
Ge74         74           32           1.64430E-07  
Ge75         75           32           0.00000E+00  
Ge76         76           32           2.47680E-08  
Ge77         77           32           0.00000E+00  
As75         75           33           2.07660E-08  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           3.45720E-08  
Se77         77           34           2.12780E-08  
Se78         78           34           7.13810E-08  
Se79         79           34           3.29480E-09  
Se80         80           34           1.50180E-07  
Se81         81           34           0.00000E+00  
Se82         82           34           1.66530E-08  
Br79         79           35           2.06670E-08  
Br80         80           35           0.00000E+00  
Br81         81           35           2.54730E-08  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           8.51470E-09  
Kr81         81           36           8.81840E-10  
Kr82         82           36           5.33930E-08  
Kr83         83           36           3.04850E-08  
Kr84         84           36           1.66620E-07  
Kr85         85           36           0.00000E+00  
Kr86         86           36           4.31580E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           2.69170E-08  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.02610E-08  
Rb88         88           37           0.00000E+00  
Sr86         86           38           4.36920E-08  
Sr87         87           38           2.91170E-08  
