Isotope      A            Z            YIELD 
H            1            1            3.37690E+00  
He4          4            2            1.80630E+00  
C12          12           6            4.02200E-03  
C13          13           6            1.09620E-04  
C14          14           6            2.21840E-08  
N14          14           7            3.22840E-03  
N15          15           7            1.12260E-06  
O16          16           8            5.90550E-03  
O17          17           8            3.09600E-05  
O18          18           8            8.61540E-06  
F18          18           9            0.00000E+00  
F19          19           9            3.94380E-07  
Ne20         20           10           1.18400E-03  
Ne21         21           10           3.67690E-06  
Ne22         22           10           1.02550E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           9.56310E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           6.03030E-04  
Mg25         25           12           7.37430E-05  
Mg26         26           12           1.05240E-04  
Al26         26           13           7.83360E-08  
Al27         27           13           7.03850E-05  
Si28         28           14           7.89510E-04  
Si29         29           14           4.17430E-05  
Si30         30           14           2.86710E-05  
Si31         31           14           0.00000E+00  
Si32         32           14           1.14810E-12  
P31          31           15           7.43110E-06  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           4.12920E-04  
S33          33           16           3.36900E-06  
S34          34           16           1.95680E-05  
S35          35           16           0.00000E+00  
S36          36           16           8.88120E-08  
Cl35         35           17           4.22870E-06  
Cl36         36           17           2.04160E-09  
Cl37         37           17           1.48900E-06  
Ar36         36           18           9.46540E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.82220E-05  
Ar39         39           18           8.38810E-11  
Ar40         40           18           3.66850E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           3.93380E-06  
K40          40           19           7.51770E-09  
K41          41           19           3.06990E-07  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           7.09970E-05  
Ca41         41           20           9.05620E-09  
Ca42         42           20           5.02230E-07  
Ca43         43           20           1.07370E-07  
Ca44         44           20           1.68410E-06  
Ca45         45           20           0.00000E+00  
Ca46         46           20           4.67090E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.64490E-07  
Sc45         45           21           4.78150E-08  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           2.76980E-07  
Ti47         47           22           2.54130E-07  
Ti48         48           22           2.57600E-06  
Ti49         49           22           1.97920E-07  
Ti50         50           22           1.93250E-07  
V50          50           23           1.08920E-09  
V51          51           23           4.47510E-07  
Cr50         50           24           8.66180E-07  
Cr51         51           24           0.00000E+00  
Cr52         52           24           1.74510E-05  
Cr53         53           24           2.00970E-06  
Cr54         54           24           5.36140E-07  
Mn55         55           25           1.53730E-05  
Mn56         56           25           0.00000E+00  
Fe54         54           26           8.32790E-05  
Fe55         55           26           5.24510E-13  
Fe56         56           26           1.35930E-03  
Fe57         57           26           3.24680E-05  
Fe58         58           26           5.05640E-06  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.75810E-07  
Co59         59           27           4.25030E-06  
Co60         60           27           5.52910E-13  
Ni58         58           28           5.73230E-05  
Ni59         59           28           3.35620E-08  
Ni60         60           28           2.29660E-05  
Ni61         61           28           1.09750E-06  
Ni62         62           28           3.41680E-06  
Ni63         63           28           1.69960E-10  
Ni64         64           28           9.87170E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           7.82320E-07  
Cu64         64           29           0.00000E+00  
Cu65         65           29           3.49650E-07  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           1.18940E-06  
Zn65         65           30           0.00000E+00  
Zn66         66           30           7.22850E-07  
Zn67         67           30           1.09600E-07  
Zn68         68           30           5.11970E-07  
Zn69         69           30           0.00000E+00  
Zn70         70           30           1.67540E-08  
Ga69         69           31           4.95010E-08  
Ga70         70           31           0.00000E+00  
Ga71         71           31           3.30400E-08  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           5.91510E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           7.76250E-08  
Ge73         73           32           2.20010E-08  
Ge74         74           32           1.04810E-07  
Ge75         75           32           0.00000E+00  
Ge76         76           32           2.08460E-08  
Ge77         77           32           0.00000E+00  
As75         75           33           1.44380E-08  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           1.62680E-08  
Se77         77           34           1.25230E-08  
Se78         78           34           4.16120E-08  
Se79         79           34           7.37030E-10  
Se80         80           34           8.56060E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           1.39480E-08  
Br79         79           35           1.36510E-08  
Br80         80           35           0.00000E+00  
Br81         81           35           1.45310E-08  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           3.39760E-09  
Kr81         81           36           6.05540E-11  
Kr82         82           36           1.77120E-08  
Kr83         83           36           1.64780E-08  
Kr84         84           36           8.34260E-08  
Kr85         85           36           0.00000E+00  
Kr86         86           36           2.89810E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           1.35620E-08  
Rb86         86           37           0.00000E+00  
Rb87         87           37           7.00480E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           6.61550E-09  
Sr87         87           38           4.75720E-09  
Sr88         88           38           5.53290E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           1.15880E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           1.32620E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
