#\label{tab:overprod_factors_delay}
#1[Msun/yr],10[Msun/yr],100[Msun/yr],1k[Msun/yr],10k[Msun/yr],100k[Msun/yr]
Element,A,mod.D.ar1d0,mod.D.ar1d1,mod.D.ar1d2,mod.D.ar1d3,mod.D.ar1d4,mod.D.ar1d5
H,1,9.98e-01,9.97e-01,9.97e-01,9.94e-01,3.83e-01,4.00e-23
H,2,1.56e-13,1.69e-13,1.84e-13,1.99e-13,7.55e-14,8.00e-30
He,3,8.04e-07,2.35e-10,1.32e-10,2.59e-10,8.43e-11,3.64e-19
He,4,1.00e+00,9.89e-01,9.28e-01,6.03e-01,3.08e-01,2.56e-06
Li,7,1.43e+06,4.90e+04,5.64e-01,3.55e-01,4.37e-01,1.19e-13
B,11,2.98e-01,8.59e-03,7.67e-08,2.78e-08,1.70e-08,1.78e-21
C,12,2.81e-06,3.55e-08,5.55e-09,6.50e-09,9.96e-09,3.54e-10
C,13,1.92e-02,1.57e-03,5.21e-05,1.71e-05,5.75e-06,5.88e-20
N,14,3.77e+00,4.65e-03,5.14e-03,2.70e-03,7.73e-04,7.49e-19
N,15,2.86e+02,1.07e+00,2.57e-02,3.79e-02,2.68e-02,1.22e-10
O,16,1.30e-04,2.80e-04,3.34e-06,4.77e-06,6.68e-07,3.23e-10
O,17,3.32e+00,4.73e-03,1.66e-03,2.03e-04,1.27e-04,3.21e-15
O,18,5.17e+02,2.16e+00,1.81e+00,9.90e-01,2.99e-01,8.44e-18
F,19,3.59e-01,1.37e-03,7.56e-05,1.04e-04,7.50e-05,1.27e-11
Ne,20,5.06e-04,4.29e-02,1.86e-04,1.61e-04,2.14e-05,5.68e-12
Ne,21,1.26e+00,2.25e+02,1.38e-03,3.20e-03,9.87e-04,1.92e-13
Ne,22,1.40e+01,9.19e-01,1.54e-01,3.37e-02,1.31e-02,3.87e-14
Na,23,2.50e-01,1.25e+02,1.50e+00,8.24e-01,2.27e-01,4.19e-12
Mg,24,5.58e-02,1.77e+01,1.70e-01,9.19e-02,2.52e-02,2.46e-13
Mg,25,5.07e-02,9.47e+00,2.56e-02,3.63e-02,2.37e-02,1.95e-13
Mg,26,9.82e-04,3.27e-02,6.25e-05,9.55e-05,6.38e-05,4.38e-12
Al,27,1.37e+01,1.47e+01,1.97e+00,7.04e-01,2.07e-01,8.22e-12
Si,28,1.27e-01,3.94e+00,5.73e-01,2.10e-01,6.51e-02,2.92e-13
Si,29,8.27e-04,2.34e-03,5.96e-03,3.26e-03,2.69e-03,1.69e-11
Si,30,1.15e-01,4.06e-02,6.20e-04,2.56e-04,3.17e-04,1.23e-09
P,31,1.43e+02,7.07e+01,6.32e+01,1.83e+01,5.16e+00,6.48e-11
S,32,2.59e-02,1.33e+00,1.61e+00,4.70e-01,1.35e-01,6.40e-12
S,33,1.49e+02,1.50e+02,2.24e+00,1.46e+00,9.79e-01,2.49e-09
S,34,3.35e-04,6.14e-03,4.76e-01,3.36e-03,1.52e-03,1.45e-08
S,36,7.84e-24,4.36e-27,3.46e-28,4.91e-28,4.83e-28,2.74e-05
Cl,35,1.66e-01,1.05e-02,5.37e+02,3.33e+01,8.44e+00,1.79e-09
Cl,37,2.63e+01,2.65e+01,1.96e+02,1.11e+00,7.07e-01,8.61e-08
Ar,36,5.31e-02,9.01e-02,1.34e+02,8.52e+00,2.26e+00,3.43e-12
Ar,38,3.05e-04,4.42e-04,1.30e+03,3.18e+01,7.95e+00,6.90e-08
Ar,40,9.39e-23,1.03e-25,2.30e-27,8.63e-28,4.09e-27,8.38e-05
K,39,9.15e-03,7.66e-03,1.01e+02,2.72e+00,3.94e-01,3.65e-09
K,40,2.74e-12,9.73e-20,2.97e-90,8.69e-18,6.16e-18,2.16e-07
K,41,1.40e+01,2.68e-01,1.86e+03,3.32e+00,1.40e+00,3.54e-08
Ca,40,4.67e-01,2.36e-06,1.78e+00,4.32e-02,3.04e-03,2.10e-15
Ca,42,1.03e+02,1.69e+02,1.79e+04,3.96e+02,1.79e+02,2.04e-07
Ca,43,3.24e-01,5.24e-01,9.43e+03,8.45e+00,7.75e+00,2.54e-06
Ca,44,1.49e-01,3.61e+00,4.23e+03,1.32e+02,1.06e+01,3.37e-05
Ca,46,1.89e-17,3.99e-90,3.99e-90,2.84e-28,3.74e-28,5.85e+00
Ca,48,2.62e-22,7.27e-92,7.27e-92,7.27e-92,7.27e-92,3.67e+00
Sc,45,1.48e+00,1.89e+00,1.42e+03,1.10e+02,3.45e+01,7.43e-04
Ti,46,3.68e-02,3.04e-01,1.59e+02,9.69e+00,9.56e+01,3.03e-06
Ti,47,1.54e+00,1.74e+00,1.52e+03,3.76e+01,1.47e+01,3.32e-02
Ti,48,5.45e-01,9.96e-02,1.72e+03,4.28e+02,8.41e+01,2.17e-02
Ti,49,3.67e+00,5.74e-01,2.57e+02,1.32e+02,5.57e+01,3.26e+01
Ti,50,2.04e-04,2.26e-25,1.14e-28,8.19e-30,7.12e-17,1.28e+04
V,50,1.06e+01,1.33e-90,1.33e-90,1.31e-19,1.07e-17,3.93e+00
