#\label{tab:overprod_factors_centraj}
#1[Msun/yr],10[Msun/yr],100[Msun/yr],1k[Msun/yr],10k[Msun/yr],100k[Msun/yr]
Element,A,mod.C.ar1d0,mod.C.ar1d1,mod.C.ar1d2,mod.C.ar1d3,mod.C.ar1d4,mod.C.ar1d5
H,1,9.98e-01,9.97e-01,9.98e-01,9.93e-01,1.33e-11,1.74e-21
H,2,1.56e-13,1.69e-13,1.84e-13,1.99e-13,1.69e-20,3.34e-29
He,3,1.66e-07,7.93e-11,1.37e-10,2.68e-10,7.88e-25,7.26e-20
He,4,9.93e-01,9.71e-01,8.54e-01,5.50e-01,1.93e-01,3.65e-05
Li,7,9.16e+05,1.07e+01,9.57e-01,4.79e-01,1.56e-10,8.28e-13
B,11,2.17e-01,1.85e-06,1.20e-07,3.43e-08,2.36e-23,8.12e-23
C,12,1.49e-06,7.44e-09,4.33e-09,5.07e-09,1.71e-02,1.73e-09
C,13,1.26e-02,5.08e-05,4.06e-05,1.30e-05,6.13e-07,2.31e-22
N,14,2.51e-03,3.73e-03,4.18e-03,2.15e-03,5.47e-15,2.06e-23
N,15,1.50e+02,6.06e-03,2.01e-02,2.96e-02,6.15e-13,4.20e-10
O,16,5.80e-05,5.66e-07,2.47e-06,3.91e-06,1.40e-05,2.56e-09
O,17,3.51e-02,4.17e-03,1.24e-03,1.48e-04,9.75e-12,3.26e-17
O,18,2.71e+02,1.12e+00,1.42e+00,7.73e-01,1.88e-18,5.27e-19
F,19,2.13e-01,1.84e-05,5.90e-05,8.13e-05,1.93e-12,1.56e-10
Ne,20,3.33e-02,6.91e-05,1.37e-04,1.31e-04,9.28e-05,4.38e-10
Ne,21,1.85e+02,8.84e-04,1.07e-03,2.63e-03,2.25e-08,3.58e-15
Ne,22,7.64e+01,1.51e-01,1.13e-01,2.49e-02,2.31e-13,2.71e-12
Na,23,1.81e+01,4.66e-01,9.31e-01,6.50e-01,5.21e-07,2.04e-10
Mg,24,4.40e+00,6.57e-02,1.06e-01,7.26e-02,1.21e-04,4.48e-11
Mg,25,4.03e-01,3.47e-03,1.56e-02,2.87e-02,8.16e-09,1.15e-11
Mg,26,1.41e-03,1.99e-03,3.86e-05,7.54e-05,3.77e-06,3.65e-10
Al,27,1.49e+01,3.53e+00,1.02e+00,5.42e-01,1.52e-03,8.32e-10
Si,28,5.52e-01,1.28e+00,2.93e-01,1.62e-01,1.27e-04,1.25e-11
Si,29,5.14e-04,1.58e+00,2.07e-03,2.46e-03,1.31e-04,3.23e-09
Si,30,9.94e-02,5.68e-02,3.45e-04,1.93e-04,2.40e-02,1.38e-08
P,31,1.28e+02,1.03e+03,2.34e+01,1.35e+01,5.07e-03,1.69e-09
S,32,2.77e-01,3.17e+01,5.95e-01,3.47e-01,1.21e-03,9.53e-10
S,33,1.50e+02,3.92e+02,7.09e-01,1.08e+00,4.71e-02,3.10e-08
S,34,9.84e-04,5.44e+00,2.93e-02,2.23e-03,1.10e-01,9.98e-08
S,36,1.38e-91,1.38e-91,9.14e-28,5.38e-28,9.96e-03,4.94e-06
Cl,35,2.70e-03,3.21e+02,3.70e+01,2.21e+01,5.04e-02,7.63e-09
Cl,37,2.63e+01,1.20e+02,4.98e-01,6.99e-01,8.10e-02,1.96e-07
Ar,36,8.61e-02,8.80e+01,9.26e+00,5.66e+00,2.64e-02,5.06e-10
Ar,38,1.59e-04,3.37e+01,3.47e+01,2.00e+01,8.21e-01,6.06e-07
Ar,40,2.71e-25,3.85e-31,5.05e-27,8.05e-31,9.03e-01,6.13e-05
K,39,8.83e-03,1.43e-01,1.40e+00,1.57e+00,1.13e-01,1.17e-08
K,40,1.03e-17,1.21e-18,2.41e-18,4.09e-18,5.58e+01,1.13e-05
K,41,4.07e-02,1.23e+01,1.06e+00,1.96e+00,1.10e+00,3.68e-07
Ca,40,2.30e-06,1.56e-03,2.32e-02,2.46e-02,2.83e-02,2.49e-12
Ca,42,1.80e+02,1.52e+02,5.44e+02,2.34e+02,2.76e+01,2.81e-07
Ca,43,2.05e-01,1.58e+00,4.23e+00,4.86e+00,5.68e+00,1.96e-06
Ca,44,3.24e-01,1.22e+01,8.99e+01,7.78e+01,1.13e+00,8.37e-07
Ca,46,3.99e-90,3.99e-90,3.99e-90,2.34e-28,3.39e-05,9.05e-03
Ca,48,7.27e-92,7.27e-92,7.27e-92,2.69e-31,1.15e-14,6.20e-04
Sc,45,3.82e-01,2.15e+00,3.29e+01,6.48e+01,1.32e+02,6.87e-06
Ti,46,9.30e-01,4.62e-01,6.51e+01,5.41e+00,4.95e+01,2.08e-07
Ti,47,3.21e-01,1.19e+00,2.08e+01,2.13e+01,1.03e+01,1.41e-04
Ti,48,1.37e-02,3.72e-01,3.99e+02,2.31e+02,4.48e+00,3.03e-03
Ti,49,6.15e-01,6.19e-01,4.48e+01,6.97e+01,6.89e+01,1.31e-01
Ti,50,8.09e-92,8.09e-92,8.09e-92,1.29e-17,5.93e-05,1.77e+02
V,50,1.33e-90,1.33e-90,1.33e-90,5.67e-20,4.72e+01,1.35e+00
