#\label{tab:delayed_abundances_table}
#1[Msun/yr],10[Msun/yr],100[Msun/yr],1k[Msun/yr],10k[Msun/yr],100k[Msun/yr]
Element,A,mod.D.ar1d0,mod.D.ar1d1,mod.D.ar1d2,mod.D.ar1d3,mod.D.ar1d4,mod.D.ar1d5
H,1,7.28e-01,7.27e-01,7.26e-01,7.25e-01,2.79e-01,2.92e-23
H,2,2.20e-18,2.39e-18,2.60e-18,2.81e-18,1.07e-18,1.13e-34
He,3,3.49e-11,1.02e-14,5.71e-15,1.12e-14,3.65e-15,1.58e-23
He,4,2.61e-01,2.58e-01,2.42e-01,1.57e-01,8.04e-02,6.70e-07
Li,7,6.22e-05,2.13e-06,2.45e-11,1.54e-11,1.90e-11,5.18e-24
B,11,7.91e-10,2.28e-11,2.03e-16,7.38e-17,4.50e-17,4.72e-30
C,12,4.92e-09,6.21e-11,9.70e-12,1.14e-11,1.74e-11,6.18e-13
C,13,4.07e-07,3.33e-08,1.11e-09,3.62e-10,1.22e-10,1.25e-24
N,14,1.90e-03,2.34e-06,2.59e-06,1.36e-06,3.90e-07,3.78e-22
N,15,5.68e-04,2.13e-06,5.10e-08,7.54e-08,5.32e-08,2.42e-16
O,16,5.68e-07,1.23e-06,1.46e-08,2.09e-08,2.92e-09,1.41e-12
O,17,5.75e-06,8.21e-09,2.87e-09,3.52e-10,2.20e-10,5.56e-21
O,18,5.10e-03,2.14e-05,1.78e-05,9.78e-06,2.95e-06,8.34e-23
F,19,1.49e-07,5.69e-10,3.13e-11,4.32e-11,3.11e-11,5.27e-18
Ne,20,3.91e-07,3.31e-05,1.43e-07,1.24e-07,1.66e-08,4.38e-15
Ne,21,2.44e-06,4.38e-04,2.69e-09,6.21e-09,1.92e-09,3.73e-19
Ne,22,8.73e-04,5.74e-05,9.60e-06,2.10e-06,8.16e-07,2.41e-18
Na,23,5.11e-06,2.56e-03,3.06e-05,1.68e-05,4.64e-06,8.55e-17
Mg,24,2.15e-05,6.82e-03,6.57e-05,3.54e-05,9.73e-06,9.50e-17
Mg,25,2.58e-06,4.82e-04,1.30e-06,1.85e-06,1.20e-06,9.90e-18
Mg,26,5.72e-08,1.90e-06,3.64e-09,5.55e-09,3.71e-09,2.55e-16
Al,27,5.22e-04,5.60e-04,7.50e-05,2.68e-05,7.86e-06,3.12e-16
Si,28,6.36e-05,1.97e-03,2.87e-04,1.05e-04,3.27e-05,1.46e-16
Si,29,2.18e-08,6.16e-08,1.57e-07,8.60e-08,7.09e-08,4.47e-16
Si,30,2.07e-06,7.29e-07,1.11e-08,4.61e-09,5.70e-09,2.22e-14
P,31,6.08e-04,3.01e-04,2.69e-04,7.81e-05,2.20e-05,2.76e-16
S,32,6.52e-06,3.34e-04,4.06e-04,1.18e-04,3.41e-05,1.61e-15
S,33,3.06e-04,3.07e-04,4.59e-06,2.99e-06,2.01e-06,5.10e-15
S,34,3.97e-09,7.29e-08,5.65e-06,3.99e-08,1.81e-08,1.72e-13
S,36,3.98e-31,2.21e-34,1.75e-35,2.49e-35,2.45e-35,1.39e-12
Cl,35,8.35e-07,5.31e-08,2.70e-03,1.67e-04,4.25e-05,8.99e-15
Cl,37,4.48e-05,4.50e-05,3.33e-04,1.89e-06,1.20e-06,1.46e-13
Ar,36,1.47e-06,2.49e-06,3.72e-03,2.36e-04,6.26e-05,9.50e-17
Ar,38,1.62e-09,2.35e-09,6.93e-03,1.69e-04,4.22e-05,3.66e-13
Ar,40,8.39e-31,9.21e-34,2.06e-35,7.71e-36,3.66e-35,7.49e-13
K,39,2.40e-08,2.01e-08,2.64e-04,7.14e-06,1.03e-06,9.58e-15
K,40,9.24e-22,3.28e-29,1.00e-99,2.93e-27,2.07e-27,7.28e-17
K,41,2.78e-06,5.34e-08,3.71e-04,6.61e-07,2.79e-07,7.05e-15
Ca,40,2.22e-05,1.12e-10,8.46e-05,2.05e-06,1.45e-07,9.98e-20
Ca,42,3.42e-05,5.62e-05,5.95e-03,1.32e-04,5.94e-05,6.79e-14
Ca,43,2.30e-08,3.73e-08,6.71e-04,6.01e-07,5.51e-07,1.81e-13
Ca,44,1.67e-07,4.06e-06,4.76e-03,1.48e-04,1.20e-05,3.79e-11
Ca,46,4.26e-26,9.00e-99,9.00e-99,6.41e-37,8.43e-37,1.32e-08
Ca,48,2.89e-29,8.00e-99,8.00e-99,8.00e-99,8.00e-99,4.03e-07
Sc,45,4.49e-08,5.72e-08,4.29e-05,3.32e-06,1.05e-06,2.25e-11
Ti,46,6.65e-09,5.51e-08,2.87e-05,1.75e-06,1.73e-05,5.48e-13
Ti,47,2.57e-07,2.90e-07,2.54e-04,6.26e-06,2.45e-06,5.54e-09
Ti,48,9.20e-07,1.68e-07,2.89e-03,7.22e-04,1.42e-04,3.65e-08
Ti,49,4.63e-07,7.25e-08,3.25e-05,1.67e-05,7.03e-06,4.13e-06
Ti,50,2.52e-11,2.80e-32,1.40e-35,1.01e-36,8.80e-24,1.59e-03
V,50,7.96e-09,1.00e-99,1.00e-99,9.80e-29,8.00e-27,2.95e-09
