#\label{tab:centraj_abunds}
#1[Msun/yr],10[Msun/yr],100[Msun/yr],1k[Msun/yr],10k[Msun/yr],100k[Msun/yr]
Element,A,mod.C.ar1d0,mod.C.ar1d1,mod.C.ar1d2,mod.C.ar1d3,mod.C.ar1d4,mod.C.ar1d5
H,1,7.27e-01,7.27e-01,7.27e-01,7.24e-01,9.71e-12,1.27e-21
H,2,2.20e-18,2.39e-18,2.60e-18,2.81e-18,2.39e-25,4.72e-34
He,3,7.20e-12,3.44e-15,5.93e-15,1.16e-14,3.42e-29,3.15e-24
He,4,2.59e-01,2.54e-01,2.23e-01,1.44e-01,5.03e-02,9.54e-06
Li,7,3.99e-05,4.68e-10,4.17e-11,2.09e-11,6.79e-21,3.61e-23
B,11,5.77e-10,4.91e-15,3.18e-16,9.10e-17,6.25e-32,2.15e-31
C,12,2.60e-09,1.30e-11,7.56e-12,8.86e-12,3.00e-05,3.03e-12
C,13,2.67e-07,1.08e-09,8.62e-10,2.75e-10,1.30e-11,4.91e-27
N,14,1.27e-06,1.88e-06,2.11e-06,1.08e-06,2.76e-18,1.04e-26
N,15,2.98e-04,1.21e-08,4.00e-08,5.89e-08,1.22e-18,8.35e-16
O,16,2.54e-07,2.48e-09,1.08e-08,1.71e-08,6.14e-08,1.12e-11
O,17,6.08e-08,7.24e-09,2.15e-09,2.56e-10,1.69e-17,5.65e-23
O,18,2.68e-03,1.10e-05,1.40e-05,7.64e-06,1.86e-23,5.20e-24
F,19,8.83e-08,7.62e-12,2.44e-11,3.36e-11,8.00e-19,6.47e-17
Ne,20,2.57e-05,5.33e-08,1.05e-07,1.01e-07,7.16e-08,3.38e-13
Ne,21,3.60e-04,1.72e-09,2.08e-09,5.11e-09,4.37e-14,6.95e-21
Ne,22,4.77e-03,9.40e-06,7.06e-06,1.56e-06,1.44e-17,1.69e-16
Na,23,3.70e-04,9.51e-06,1.90e-05,1.33e-05,1.06e-11,4.17e-15
Mg,24,1.69e-03,2.53e-05,4.08e-05,2.80e-05,4.66e-08,1.73e-14
Mg,25,2.05e-05,1.77e-07,7.95e-07,1.46e-06,4.15e-13,5.87e-16
Mg,26,8.21e-08,1.16e-07,2.25e-09,4.39e-09,2.20e-10,2.12e-14
Al,27,5.67e-04,1.34e-04,3.88e-05,2.06e-05,5.77e-08,3.16e-14
Si,28,2.77e-04,6.40e-04,1.47e-04,8.13e-05,6.38e-08,6.26e-15
Si,29,1.36e-08,4.16e-05,5.47e-08,6.50e-08,3.47e-09,8.51e-14
Si,30,1.79e-06,1.02e-06,6.21e-09,3.47e-09,4.32e-07,2.49e-13
P,31,5.47e-04,4.39e-03,9.98e-05,5.76e-05,2.16e-08,7.18e-15
S,32,6.98e-05,7.98e-03,1.50e-04,8.73e-05,3.05e-07,2.40e-13
S,33,3.07e-04,8.05e-04,1.45e-06,2.21e-06,9.65e-08,6.35e-14
S,34,1.17e-08,6.46e-05,3.48e-07,2.64e-08,1.30e-06,1.19e-12
S,36,7.00e-99,7.00e-99,4.63e-35,2.73e-35,5.05e-10,2.51e-13
Cl,35,1.36e-08,1.62e-03,1.86e-04,1.11e-04,2.53e-07,3.84e-14
Cl,37,4.47e-05,2.05e-04,8.47e-07,1.19e-06,1.38e-07,3.33e-13
Ar,36,2.38e-06,2.43e-03,2.56e-04,1.57e-04,7.30e-07,1.40e-14
Ar,38,8.44e-10,1.79e-04,1.84e-04,1.06e-04,4.36e-06,3.22e-12
Ar,40,2.42e-33,3.44e-39,4.52e-35,7.19e-39,8.07e-09,5.48e-13
K,39,2.32e-08,3.77e-07,3.66e-06,4.13e-06,2.97e-07,3.07e-14
K,40,3.46e-27,4.09e-28,8.11e-28,1.38e-27,1.88e-08,3.81e-15
K,41,8.10e-09,2.45e-06,2.11e-07,3.90e-07,2.20e-07,7.32e-14
Ca,40,1.09e-10,7.40e-08,1.10e-06,1.17e-06,1.34e-06,1.18e-16
Ca,42,5.99e-05,5.05e-05,1.81e-04,7.80e-05,9.18e-06,9.35e-14
Ca,43,1.46e-08,1.12e-07,3.01e-07,3.46e-07,4.04e-07,1.39e-13
Ca,44,3.65e-07,1.37e-05,1.01e-04,8.75e-05,1.27e-06,9.41e-13
Ca,46,9.00e-99,9.00e-99,9.00e-99,5.28e-37,7.65e-14,2.04e-11
Ca,48,8.00e-99,8.00e-99,8.00e-99,2.96e-38,1.26e-21,6.82e-11
Sc,45,1.16e-08,6.51e-08,9.97e-07,1.96e-06,4.01e-06,2.08e-13
Ti,46,1.68e-07,8.36e-08,1.18e-05,9.79e-07,8.96e-06,3.76e-14
Ti,47,5.35e-08,1.98e-07,3.47e-06,3.55e-06,1.72e-06,2.35e-11
Ti,48,2.32e-08,6.27e-07,6.72e-04,3.89e-04,7.55e-06,5.11e-09
