# Processed by the NuPyCEE team: https://raw.githubusercontent.com/NuGrid/NuPyCEE/master/yield_tables/r_process_rosswog_2014.txt 2022.05.01
# H Yields (in mass fraction) Z=0.02
# H Taken from Rosswog et al. 2014 (http://adsabs.harvard.edu/abs/2014MNRAS.439..744R)
elemSymb,elemZ,elemA,massFrac
H,1,1,8.13310921e-09
H,1,2,1.3406843905747e-09
He,2,3,1.376618994592e-11
He,2,4,0.0068478374047737
Li,3,6,5.6968401743814994e-12
Li,3,7,1.0283286921247e-10
Be,4,7,3.7665705611665e-20
Be,4,8,3.0804354966083e-09
Be,4,9,6.736463500296899e-13
B,5,10,2.0584253496957002e-10
B,5,11,4.2744223413297e-11
C,6,12,1.2149695714359e-08
C,6,13,4.1337414914395e-09
N,7,14,1.1493803106238e-08
N,7,15,2.0728051397444e-05
O,8,16,5.6174607663686e-07
O,8,17,1.1902654387529e-08
O,8,18,5.5390116612379e-08
F,9,19,4.2020619047612e-06
Ne,10,20,5.2017063709502e-06
Ne,10,21,1.4261981281276e-06
Ne,10,22,0.00015790413872846
Na,11,23,6.0433904784124e-08
Mg,12,24,4.8764048090288e-07
Mg,12,25,2.9733616736551e-06
Mg,12,26,3.1148981723333e-07
Al,13,27,1.1549488732862e-07
Si,14,28,6.2040745542139e-08
Si,14,29,3.69155814437e-08
Si,14,30,4.308337334417e-08
P,15,31,6.8799744180639e-08
S,16,32,3.4063687189442e-07
S,16,33,2.4374046626755e-07
S,16,34,1.0446475257233e-06
S,16,36,1.2719034327646e-07
Cl,17,35,4.9268056097265e-07
Cl,17,37,2.6840299833109e-07
Ar,18,36,2.2866278067977e-16
Ar,18,38,8.2785333578126e-08
Ar,18,40,5.2775800859227e-08
K,19,39,5.2345678850603e-08
K,19,41,1.0025462530675e-07
Ca,20,42,1.0857991155828e-06
Ca,20,43,1.0358035854959e-06
Ca,20,44,7.353071717671e-07
Ca,20,46,7.3866636940419e-07
Ca,20,48,7.8472654932273e-07
Sc,21,45,1.0189683849032e-06
Ti,22,46,1.7424286238959002e-16
Ti,22,47,1.1589512669506e-06
Ti,22,48,6.8699278122808e-14
Ti,22,49,5.7435035698044e-08
Ti,22,50,1.7896106002948e-07
V,23,51,1.5416360053611e-07
Cr,24,52,4.6396711144764e-07
Cr,24,53,4.0569475942429e-07
Cr,24,54,2.2089914676854e-07
Mn,25,55,2.7105888419621e-07
Fe,26,56,2.7578828462601e-07
Fe,26,57,4.4101629423214e-07
Fe,26,58,3.7456737121546e-07
Co,27,59,3.3074884068683e-07
Ni,28,60,2.9340851366625e-07
Ni,28,61,1.9891648374679e-07
Ni,28,62,3.2297373629991e-07
Ni,28,64,2.5922604934573e-07
Cu,29,63,4.2306017383399e-07
Cu,29,65,4.8912024562233e-07
Zn,30,64,2.233864195281e-18
Zn,30,66,3.1920413757696e-07
Zn,30,67,5.0570328558349e-07
Zn,30,68,2.7087529226382e-07
Zn,30,70,2.0448999502812e-07
Ga,31,69,5.7334397319287e-07
Ga,31,71,4.9015820932972e-07
Ge,32,70,2.4096733002985997e-12
Ge,32,72,4.8066124852506e-07
Ge,32,73,4.5377148112194e-07
Ge,32,74,6.4303178720826e-07
Ge,32,76,1.7930552179568e-06
As,33,75,1.4937575873932e-06
Se,34,76,1.9718844043271e-11
Se,34,77,3.6744558970365e-06
Se,34,78,6.831387013683e-06
Se,34,80,1.3986081330618e-06
Se,34,82,5.2968698130791e-07
Br,35,79,5.0110537146353e-06
Br,35,81,1.3973355430464e-06
Kr,36,80,9.1571023678728e-21
Kr,36,82,8.3674009215366e-11
Kr,36,83,6.6880384622289e-07
Kr,36,84,1.0725411913182e-06
Kr,36,86,6.7137210221092e-07
Rb,37,85,5.6175289740526e-07
Sr,38,86,5.3213952829265e-17
Sr,38,87,5.2222961836185e-07
Sr,38,88,3.3170382094992e-07
Y,39,89,1.6059601151577e-07
Zr,40,90,2.0255646571541e-07
Zr,40,91,1.2244194227439e-07
Zr,40,92,2.4146852475005e-07
Zr,40,94,9.7577035691841e-08
Nb,41,93,1.3149409681183e-07
Mo,42,95,3.4984719954688e-07
Mo,42,96,1.8973105985229e-07
Mo,42,97,2.547281507787e-07
Mo,42,98,1.5210375580562e-07
Mo,42,100,1.9155417947369e-07
Ru,44,99,2.3216085079404e-07
Ru,44,100,2.5008937588206e-13
Ru,44,101,1.5589424050132e-07
Ru,44,102,2.3581404712571e-07
Ru,44,104,2.7045771424759e-07
Rh,45,103,2.6714389328292e-07
Pd,46,104,4.3014773971229e-15
Pd,46,105,2.0761450564802e-07
Pd,46,106,2.4801814836847e-07
Pd,46,108,4.6878656412105e-07
Pd,46,110,7.1635789701767e-05
Ag,47,107,2.2207820013611e-07
Ag,47,109,4.5210542294026e-05
Cd,48,110,4.7497320859236e-11
Cd,48,111,9.3519032401451e-05
Cd,48,112,0.00011649297841015
Cd,48,114,0.00025427155118593
Cd,48,116,0.00078464534672725
In,49,113,0.0014488261146922
Sn,50,114,4.7252309410579e-14
Sn,50,115,0.00045739921012386
Sn,50,116,4.5642666496968e-11
Sn,50,117,0.00089178705323719
Sn,50,118,0.0012744536884777
Sn,50,119,0.0014553756911706
Sn,50,120,0.0022159548673219
Sn,50,122,0.002262969173819
Sn,50,124,0.00044576765721318
Sb,51,121,0.0024254985293433
Sb,51,123,0.00090884252233559
Te,52,122,2.7402027070556e-09
Te,52,123,2.7402593323239003e-16
Te,52,124,1.5454625487094e-11
Te,52,125,0.00036222770445571
Te,52,126,0.00074085638699622
Te,52,128,0.025005014414664
Te,52,130,0.061033385720492
I,53,127,0.0050148438487481
Xe,54,128,3.4207008205473e-13
Xe,54,129,0.05333595873415
Xe,54,130,8.1551299999176e-09
Xe,54,131,0.047631083262365
Xe,54,132,0.06193536108088
Xe,54,134,0.031400170928486
Xe,54,136,0.012628639522093
Cs,55,133,0.063345171821618
Ba,56,134,6.881825262062699e-12
Ba,56,135,0.0315334823443
Ba,56,136,4.3374460938068006e-10
Ba,56,137,0.0053414226958928
Ba,56,138,0.0019343891990112
La,57,139,0.00047157726725855
Ce,58,140,0.00078691145333082
Ce,58,142,0.00029077456794711
Pr,59,141,0.00033875108388273
Nd,60,142,1.4348598225473e-14
Nd,60,143,0.00018130737544157
Nd,60,144,0.00012664820973651
Nd,60,145,0.00017190137791915
Nd,60,146,0.00019380799586557
Nd,60,148,0.00038063215492517
Nd,60,150,0.00046999856144633
Sm,62,147,0.00031116068397289
Sm,62,148,1.4551748997323e-11
Sm,62,149,0.00029768600199655
Sm,62,150,8.4572910288179e-09
Sm,62,152,0.0005811397407079
Sm,62,154,0.00066861478407503
Eu,63,151,0.00053906449843487
Eu,63,153,0.00050314452213318
Gd,64,152,4.117388485606e-17
Gd,64,154,5.370329546910101e-10
Gd,64,155,0.00055934478095716
Gd,64,156,0.00074410751529152
Gd,64,157,0.00072995789269233
Gd,64,158,0.001331585677268
Gd,64,160,0.0026969124675576
Tb,65,159,0.0015124428810604
Dy,66,160,1.07720483917e-09
Dy,66,161,0.0026461742801517
Dy,66,162,0.0036018741944199
Dy,66,163,0.0037927590148426
Dy,66,164,0.0045017445281173
Ho,67,165,0.0033231276376097
Er,68,166,0.0022422380290921
Er,68,167,0.0030352537557491
Er,68,168,0.0031504881380062
Er,68,170,0.0019537314107283
Tm,69,169,0.0014500516624346
Yb,70,170,8.7033239882262e-11
Yb,70,171,0.0017426408829685
Yb,70,172,0.0017997484603556
Yb,70,173,0.001756368542653
Yb,70,174,0.0021592643225745
Yb,70,176,0.0016664771121611
Lu,71,175,0.0011995308499385
Hf,72,176,6.9654493862767e-11
Hf,72,177,0.0016620245810863
Hf,72,178,0.0022010563040329
Hf,72,179,0.001490940001846
Hf,72,180,0.0016022986742218
Ta,73,181,0.0012343325520718
W,74,182,0.0014227324835379
W,74,183,0.00067292633812446
W,74,184,0.0009235969741876
W,74,186,0.00073688272722392
Re,75,185,0.00033443368175585
Os,76,186,2.392585686217e-13
Os,76,187,0.00034595580864859
Os,76,188,0.0010429912760281
Os,76,189,0.0011527503200201
Os,76,190,0.0040297570811517
Os,76,192,0.01397479884252
Ir,77,191,0.0039253785489465
Ir,77,193,0.021675771756371
Pt,78,192,1.0222486022934001e-10
Pt,78,193,3.1420561486905e-19
Pt,78,194,0.056170926885071
Pt,78,195,0.09939495947763
Pt,78,196,0.095036696196403
Pt,78,198,0.031208657752905
Au,79,197,0.076713661154984
Hg,80,198,1.5036589688575e-08
Hg,80,199,0.0068143517511163
Hg,80,200,0.00036941562257651
Hg,80,201,4.3921221538988e-05
Hg,80,202,7.9165097372542e-05
Hg,80,204,9.1867350859789e-05
Tl,81,203,4.6829469762459e-05
Tl,81,205,8.7594371538694e-05
Pb,82,204,1.7890004582362e-13
Pb,82,206,0.010920471172609
Pb,82,207,0.0049706297628029
Pb,82,208,0.0051072716136754
Bi,83,209,0.02203177522341
Th,90,232,0.0230062458807851
U,92,235,0.0168070727045183
U,92,238,0.0152751382296111
