# total mass (M_sun):,1.3775994091986536
elemSymb,elemA,elemZ,yields
p,1,1,8.11489E-14
d,2,1,1.90058E-22
he3,3,2,3.27689E-16
he4,4,2,2.41193E-03
li6,6,3,3.36797E-27
li7,7,3,1.59437E-18
be9,9,4,1.95139E-22
b10,10,5,2.36111E-15
b11,11,5,3.42112E-12
c12,12,6,4.81448E-02
c13,13,6,5.15900E-07
n14,14,7,7.48599E-07
n15,15,7,1.23496E-09
o16,16,8,1.36385E-01
o17,17,8,3.40606E-08
o18,18,8,9.36635E-10
f19,19,9,6.35467E-10
ne20,20,10,1.58794E-03
ne21,21,10,9.52038E-06
ne22,22,10,2.24706E-03
na23,23,11,5.98584E-05
mg24,24,12,1.62984E-02
mg25,25,12,7.09044E-05
mg26,26,12,3.97228E-05
al27,27,13,7.36123E-04
si28,28,14,1.65530E-01
si29,29,14,7.90977E-04
si30,30,14,2.08167E-03
p31,31,15,4.39188E-04
s32,32,16,7.47461E-02
s33,33,16,3.01078E-04
s34,34,16,1.57060E-03
s36,36,16,5.36382E-06
cl35,35,17,1.23054E-04
cl37,37,17,2.50150E-05
ar36,36,18,1.24616E-02
ar38,38,18,7.76967E-04
ar40,40,18,3.60549E-07
k39,39,19,6.53566E-05
k40,40,19,3.45251E-08
k41,41,19,4.05006E-06
ca40,40,20,1.05307E-02
ca42,42,20,2.13856E-05
ca43,43,20,5.02237E-07
ca44,44,20,8.86340E-06
ca46,46,20,6.95516E-08
ca48,48,20,7.58689E-09
sc45,45,21,4.52356E-07
ti46,46,22,1.17122E-05
ti47,47,22,7.72159E-07
ti48,48,22,1.96467E-04
ti49,49,22,1.65464E-05
ti50,50,22,2.56524E-06
v50,50,23,9.18147E-08
v51,51,23,5.81191E-05
cr50,50,24,2.86299E-04
cr52,52,24,4.93988E-03
cr53,53,24,7.55727E-04
cr54,54,24,3.36694E-05
mn55,55,25,9.02746E-03
fe54,54,26,8.55768E-02
fe56,56,26,6.72164E-01
fe57,57,26,2.36908E-02
fe58,58,26,2.18320E-04
co59,59,27,8.13490E-04
ni58,58,28,9.27048E-02
ni60,60,28,7.53514E-03
ni61,61,28,1.80640E-04
ni62,62,28,1.71427E-03
ni64,64,28,1.38250E-05
cu63,63,29,9.81707E-06
cu65,65,29,1.36019E-05
zn64,64,30,1.35828E-05
zn66,66,30,5.68634E-05
zn67,67,30,2.72629E-06
zn68,68,30,1.22886E-05
zn70,70,30,9.15123E-07
ga69,69,31,4.53336E-06
ga71,71,31,2.45417E-06
ge70,70,32,8.34187E-06
ge72,72,32,7.64009E-06
ge73,73,32,1.11978E-06
ge74,74,32,2.46712E-06
ge76,76,32,6.08909E-07
as75,75,33,1.44329E-06
se74,74,34,6.89755E-07
se76,76,34,2.01330E-06
se77,77,34,8.91395E-07
se78,78,34,1.75077E-06
se80,80,34,1.19317E-06
se82,82,34,4.08365E-07
br79,79,35,4.33663E-07
br81,81,35,4.84761E-07
kr78,78,36,7.06544E-08
kr80,80,36,9.34511E-07
kr82,82,36,1.57097E-06
kr83,83,36,5.03080E-07
kr84,84,36,2.63073E-06
kr86,86,36,6.43514E-06
rb85,85,37,1.64147E-06
rb87,87,37,2.31391E-06
sr84,84,38,1.03813E-07
sr86,86,38,1.22966E-06
sr87,87,38,4.49022E-07
sr88,88,38,8.80028E-06
y89,89,39,2.33292E-06
zr90,90,40,2.54858E-06
zr91,91,40,3.31776E-07
zr92,92,40,4.75763E-07
zr94,94,40,3.06695E-07
zr96,96,40,1.22211E-08
nb93,93,41,5.62566E-08
mo92,92,42,1.01301E-07
mo94,94,42,4.72520E-08
mo95,95,42,3.99571E-08
mo96,96,42,1.31416E-07
mo97,97,42,1.04913E-07
mo98,98,42,9.41148E-08
mo100,100,42,8.14721E-09
ru96,96,44,2.87614E-08
ru98,98,44,2.83087E-08
ru99,99,44,8.15133E-09
ru100,100,44,6.46798E-08
ru101,101,44,1.01610E-08
ru102,102,44,4.21278E-08
ru104,104,44,1.06375E-08
rh103,103,45,8.99278E-09
pd102,102,46,4.88307E-08
pd104,104,46,4.01434E-08
pd105,105,46,8.69680E-09
pd106,106,46,3.58430E-08
pd108,108,46,3.30879E-08
pd110,110,46,6.98452E-09
ag107,107,47,2.89442E-09
ag109,109,47,7.52262E-09
cd106,106,48,6.26266E-08
cd108,108,48,3.66594E-08
cd110,110,48,8.04814E-08
cd111,111,48,1.06734E-08
cd112,112,48,3.38673E-08
cd113,113,48,7.27488E-09
cd114,114,48,4.37642E-08
cd116,116,48,8.50690E-09
in113,113,49,2.94209E-09
in115,115,49,1.55886E-08
sn112,112,50,1.12975E-07
sn114,114,50,7.60826E-08
sn115,115,50,2.62525E-10
sn116,116,50,8.41228E-08
sn117,117,50,1.60433E-08
sn118,118,50,9.85741E-08
sn119,119,50,1.90504E-08
sn120,120,50,1.05672E-07
sn122,122,50,1.20905E-08
sn124,124,50,1.45502E-08
sb121,121,51,9.22188E-09
sb123,123,51,2.23420E-09
te120,120,52,1.64384E-08
te122,122,52,3.79766E-08
te123,123,52,5.75077E-09
te124,124,52,2.63279E-08
te125,125,52,1.14702E-08
te126,126,52,5.20349E-08
te128,128,52,5.15369E-09
te130,130,52,4.15848E-09
i127,127,53,8.98344E-09
xe124,124,54,3.13004E-08
xe126,126,54,3.52934E-08
xe128,128,54,7.34070E-08
xe129,129,54,7.49469E-09
xe130,130,54,2.33734E-08
xe131,131,54,1.04431E-08
xe132,132,54,4.50802E-08
xe134,134,54,4.34406E-09
xe136,136,54,8.87627E-09
cs133,133,55,7.52368E-09
ba130,130,56,4.22360E-08
ba132,132,56,2.96442E-08
ba134,134,56,3.43665E-08
ba135,135,56,8.34954E-09
ba136,136,56,4.78433E-08
ba137,137,56,2.73842E-08
ba138,138,56,2.06432E-07
la138,138,57,8.42425E-11
la139,139,57,2.05518E-08
ce136,136,58,3.64442E-09
ce138,138,58,5.08475E-09
ce140,140,58,4.90176E-08
ce142,142,58,9.72620E-10
pr141,141,59,5.11984E-09
nd142,142,60,2.10193E-08
nd143,143,60,2.21556E-09
nd144,144,60,4.00075E-09
nd145,145,60,1.43158E-09
nd146,146,60,3.83606E-09
nd148,148,60,4.22832E-10
nd150,150,60,3.81833E-11
sm144,144,62,1.18127E-08
sm147,147,62,5.34536E-10
sm148,148,62,9.19337E-10
sm149,149,62,1.65065E-10
sm150,150,62,5.60307E-10
sm152,152,62,7.45216E-10
sm154,154,62,1.35362E-09
eu151,151,63,1.65889E-10
eu153,153,63,3.77225E-10
gd152,152,64,3.72341E-11
gd154,154,64,2.16398E-10
gd155,155,64,1.68555E-10
gd156,156,64,4.05041E-10
gd157,157,64,1.90772E-10
gd158,158,64,7.12524E-10
gd160,160,64,1.44483E-10
tb159,159,65,2.30001E-10
dy156,156,66,1.56074E-10
dy158,158,66,9.28603E-11
dy160,160,66,7.52317E-10
dy161,161,66,2.30268E-10
dy162,162,66,4.95181E-10
dy163,163,66,1.65266E-10
dy164,164,66,4.45571E-10
ho165,165,67,2.50906E-10
er162,162,68,3.49091E-10
er164,164,68,1.06315E-09
er166,166,68,9.41105E-10
er167,167,68,2.48572E-10
er168,168,68,5.84955E-10
er170,170,68,1.24868E-10
tm169,169,69,3.23446E-10
yb168,168,70,9.98661E-10
yb170,170,70,1.12700E-09
yb171,171,70,3.08011E-10
yb172,172,70,9.20220E-10
yb173,173,70,3.65109E-10
yb174,174,70,1.28651E-09
yb176,176,70,9.94325E-11
lu175,175,71,2.98487E-10
lu176,176,71,3.59087E-11
hf174,174,72,5.67964E-10
hf176,176,72,6.98592E-10
hf177,177,72,1.91413E-10
hf178,178,72,8.69278E-10
hf179,179,72,2.91505E-10
hf180,180,72,1.16274E-09
ta180,180,73,3.35837E-14
ta181,181,73,3.36335E-10
w180,180,74,7.51769E-10
w182,182,74,9.64597E-10
w183,183,74,3.92996E-10
w184,184,74,8.24947E-10
w186,186,74,3.36587E-10
re185,185,75,2.14635E-10
re187,187,75,3.18187E-11
os184,184,76,9.46102E-11
os186,186,76,4.20196E-10
os187,187,76,1.75340E-10
os188,188,76,5.41650E-10
os189,189,76,1.44226E-10
os190,190,76,6.30302E-10
os192,192,76,1.86739E-10
ir191,191,77,1.93857E-10
ir193,193,77,2.30732E-10
pt190,190,78,6.39678E-11
pt192,192,78,3.68958E-10
pt194,194,78,7.79483E-10
pt195,195,78,3.32232E-10
pt196,196,78,8.95778E-10
pt198,198,78,3.49794E-11
au197,197,79,4.43049E-10
hg196,196,80,1.07658E-09
hg198,198,80,2.23402E-09
hg199,199,80,5.74933E-10
hg200,200,80,2.15208E-09
hg201,201,80,7.41433E-10
hg202,202,80,2.32995E-09
hg204,204,80,2.15303E-10
tl203,203,81,1.29151E-09
tl205,205,81,2.77861E-10
pb204,204,82,2.05402E-09
pb206,206,82,6.65355E-09
pb207,207,82,6.38146E-09
pb208,208,82,9.99295E-09
bi209,209,83,4.04364E-10
