# Data from arXiv's LaTeX of Iwamoto et al. (1999) https://arxiv.org/abs/astro-ph/0002337 please report data manipulation bugs to GalacticCEM@gmail.com
Species	elemZ	elemA	W7	W70	WDD1	WDD2	WDD3	CDD1	CDD2
Na  	11 	  22 	 1.73E-08 	 1.08E-08 	 2.66E-08 	 1.33E-08 	 3.04E-08 	 1.68E-08 	 9.64E-09
Al  	13	  26	 4.93E-07 	 2.92E-08 	 4.61E-07 	 1.88E-07 	 1.64E-07 	 3.81E-07 	 2.32E-07
Cl  	17 	  36	 2.58E-06 	 3.97E-10 	 1.25E-06 	 7.85E-07 	 4.89E-07 	 1.23E-06 	 7.35E-07
Ar  	18 	  39	 1.20E-08 	 2.00E-13 	 6.04E-09 	 4.44E-09 	 3.29E-09 	 5.99E-09 	 4.12E-09
K   	19	  40	 8.44E-08 	 5.46E-12 	 3.29E-08 	 2.35E-08 	 1.73E-08 	 3.13E-08 	 2.15E-08
Ca  	20	  41	 6.09E-06 	 4.83E-07 	 5.42E-06 	 4.52E-06 	 3.62E-06 	 5.20E-06 	 4.25E-06
Ti  	22	  44	 7.94E-06 	 1.38E-05 	 1.44E-05 	 2.95E-05 	 4.65E-05 	 1.36E-05 	 3.62E-05
V   	23	  48	 4.95E-08 	 1.61E-08 	 6.52E-08 	 5.38E-08 	 4.11E-08 	 6.33E-08 	 5.03E-08
V   	23	  49	 1.52E-07 	 3.23E-08 	 1.18E-07 	 1.03E-07 	 8.63E-08 	 9.99E-08 	 8.88E-08
Mn  	25	  53	 2.77E-04 	 2.48E-04 	 1.58E-04 	 1.54E-04 	 1.50E-04 	 8.47E-05 	 9.69E-05
Fe  	26	  60	 7.52E-07 	 7.19E-07 	 7.33E-05 	 7.33E-05 	 7.36E-05 	 6.23E-08 	 2.74E-07
Co  	27	  56	 1.44E-04 	 1.26E-04 	 6.04E-05 	 5.51E-05 	 5.20E-05 	 6.18E-05 	 5.24E-05
Co  	27	  57	 1.48E-03 	 1.42E-03 	 6.43E-04 	 6.42E-04 	 6.36E-04 	 4.50E-04 	 4.47E-04
Co  	27	  60	 4.22E-07 	 4.13E-07 	 3.76E-07 	 3.81E-07 	 3.78E-07 	 1.09E-07 	 4.23E-07
Ni  	28	  56	 5.86E-01 	 6.41E-01 	 5.64E-01 	 6.90E-01 	 7.73E-01 	 5.55E-01 	 7.37E-01
Ni  	28	  57	 2.27E-02 	 1.75E-02 	 9.95E-03 	 1.59E-02 	 1.98E-02 	 9.57E-03 	 1.74E-02
Ni  	28	  59	 6.71E-04 	 6.39E-04 	 2.54E-04 	 2.53E-04 	 2.51E-04 	 2.03E-04 	 1.90E-04
Ni  	28	  63	 8.00E-07 	 7.81E-07 	 1.69E-06 	 1.74E-06 	 1.73E-06 	 1.98E-07 	 8.31E-07
