isotope,a,z,yield,mass,metallicity,irv,mass_ej,massfrac,ysign
H,1.0,1.0,0.94271,2.0,0.014,60.0,1.3820999999999999,0.6820852326170321,1.0
He4,4.0,2.0,0.39696,2.0,0.014,60.0,1.3820999999999999,0.28721510744519213,1.0
C12,12.0,6.0,0.0079529,2.0,0.014,60.0,1.3820999999999999,0.00575421460096954,1.0
C13,13.0,6.0,9.6368e-05,2.0,0.014,60.0,1.3820999999999999,6.972577961073728e-05,1.0
C14,14.0,6.0,2.6266e-10,2.0,0.014,60.0,1.3820999999999999,1.9004413573547501e-10,1.0
N14,14.0,7.0,0.0023024,2.0,0.014,60.0,1.3820999999999999,0.0016658707763548225,1.0
N15,15.0,7.0,1.6774e-06,2.0,0.014,60.0,1.3820999999999999,1.2136603718978368e-06,1.0
O16,16.0,8.0,0.0082824,2.0,0.014,60.0,1.3820999999999999,0.0059926199261992625,1.0
O17,17.0,8.0,3.6414e-05,2.0,0.014,60.0,1.3820999999999999,2.634686346863469e-05,1.0
O18,18.0,8.0,1.3152e-05,2.0,0.014,60.0,1.3820999999999999,9.515953983069244e-06,1.0
F18,18.0,9.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
F19,19.0,9.0,1.4744e-06,2.0,0.014,60.0,1.3820999999999999,1.0667824325302078e-06,1.0
Ne20,20.0,10.0,0.0014585,2.0,0.014,60.0,1.3820999999999999,0.001055278199840822,1.0
Ne21,21.0,10.0,3.7369e-06,2.0,0.014,60.0,1.3820999999999999,2.7037840966644963e-06,1.0
Ne22,22.0,10.0,0.00070797,2.0,0.014,60.0,1.3820999999999999,0.0005122422400694596,1.0
Na22,22.0,11.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Na23,23.0,11.0,6.6422e-05,2.0,0.014,60.0,1.3820999999999999,4.805875117574705e-05,1.0
Na24,24.0,11.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Mg24,24.0,12.0,0.00073873,2.0,0.014,60.0,1.3820999999999999,0.0005344982273352146,1.0
Mg25,25.0,12.0,9.6743e-05,2.0,0.014,60.0,1.3820999999999999,6.999710585341149e-05,1.0
Mg26,26.0,12.0,0.00011263,2.0,0.014,60.0,1.3820999999999999,8.149193256638449e-05,1.0
Al26,26.0,13.0,2.7234e-07,2.0,0.014,60.0,1.3820999999999999,1.9704797047970483e-07,1.0
Al27,27.0,13.0,8.3395e-05,2.0,0.014,60.0,1.3820999999999999,6.033933868750453e-05,1.0
