isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
g,1,0,5.8983790116000006e-09,0.72,0.0001,0.28,2.1065639327142857e-08
n,1,0,0.0,0.72,0.0001,0.28,0.0
p,1,1,0.20993050290000004,0.72,0.0001,0.28,0.7497517960714286
d,2,1,1.2029389e-18,0.72,0.0001,0.28,4.2962103571428566e-18
he3,3,2,7.3368217e-05,0.72,0.0001,0.28,0.0002620293464285714
he4,4,2,0.0697028397,0.72,0.0001,0.28,0.2489387132142857
li7,7,3,1.2100614e-10,0.72,0.0001,0.28,4.3216478571428566e-10
be7,7,4,4.8812399e-12,0.72,0.0001,0.28,1.7432999642857143e-11
b8,8,5,3.384325e-27,0.72,0.0001,0.28,1.2086874999999998e-26
c12,12,6,0.00025458342811999997,0.72,0.0001,0.28,0.0009092265289999998
c13,13,6,2.48090896e-07,0.72,0.0001,0.28,8.860389142857143e-07
c14,14,6,0.0,0.72,0.0001,0.28,0.0
n13,13,7,0.0,0.72,0.0001,0.28,0.0
n14,14,7,5.565784864e-06,0.72,0.0001,0.28,1.9877803085714286e-05
n15,15,7,6.381213000000001e-09,0.72,0.0001,0.28,2.279004642857143e-08
o14,14,8,0.0,0.72,0.0001,0.28,0.0
o15,15,8,0.0,0.72,0.0001,0.28,0.0
o16,16,8,2.4808082720000002e-05,0.72,0.0001,0.28,8.860029542857143e-05
o17,17,8,7.796574800000001e-08,0.72,0.0001,0.28,2.784491e-07
o18,18,8,2.6079038600000004e-08,0.72,0.0001,0.28,9.313942357142858e-08
o19,19,8,0.0,0.72,0.0001,0.28,0.0
f17,17,9,0.0,0.72,0.0001,0.28,0.0
f18,18,9,0.0,0.72,0.0001,0.28,0.0
f19,19,9,5.861712912e-09,0.72,0.0001,0.28,2.093468897142857e-08
f20,20,9,0.0,0.72,0.0001,0.28,0.0
ne19,19,10,0.0,0.72,0.0001,0.28,0.0
ne20,20,10,2.4519900060000004e-06,0.72,0.0001,0.28,8.757107164285715e-06
ne21,21,10,3.0382755960000004e-08,0.72,0.0001,0.28,1.0850984271428571e-07
ne22,22,10,1.2894462380000001e-06,0.72,0.0001,0.28,4.605165135714286e-06
ne23,23,10,0.0,0.72,0.0001,0.28,0.0
na21,21,11,0.0,0.72,0.0001,0.28,0.0
na22,22,11,1.4535642e-24,0.72,0.0001,0.28,5.191300714285714e-24
na23,23,11,7.82364346e-08,0.72,0.0001,0.28,2.794158378571428e-07
na24,24,11,0.0,0.72,0.0001,0.28,0.0
mg23,23,12,0.0,0.72,0.0001,0.28,0.0
mg24,24,12,7.294107201000001e-07,0.72,0.0001,0.28,2.6050382860714284e-06
mg25,25,12,9.670276260000001e-08,0.72,0.0001,0.28,3.453670092857143e-07
mg26,26,12,1.195546352e-07,0.72,0.0001,0.28,4.2698083999999995e-07
mg27,27,12,0.0,0.72,0.0001,0.28,0.0
al25,25,13,0.0,0.72,0.0001,0.28,0.0
al26,26,13,1.2656813e-10,0.72,0.0001,0.28,4.520290357142857e-10
al27,27,13,8.45420089e-08,0.72,0.0001,0.28,3.0193574607142853e-07
al28,28,13,0.0,0.72,0.0001,0.28,0.0
si27,27,14,0.0,0.72,0.0001,0.28,0.0
si28,28,14,9.206333668000001e-07,0.72,0.0001,0.28,3.28797631e-06
si29,29,14,4.8515572620000005e-08,0.72,0.0001,0.28,1.732699022142857e-07
