isotope,a,z,yield,mass,metallicity,irv
H,1,1,6.1592,13.0,0.0134,0.0
H2,2,1,2.9523e-06,13.0,0.0134,0.0
He3,3,2,0.00036548,13.0,0.0134,0.0
He4,4,2,4.6327,13.0,0.0134,0.0
Li6,6,3,5.977e-11,13.0,0.0134,0.0
Li7,7,3,8.49e-10,13.0,0.0134,0.0
Be9,9,4,2.2919e-11,13.0,0.0134,0.0
B10,10,5,2.5435e-10,13.0,0.0134,0.0
B11,11,5,8.0392e-09,13.0,0.0134,0.0
C12,12,6,0.11404,13.0,0.0134,0.0
C13,13,6,0.0006918,13.0,0.0134,0.0
N14,14,7,0.033095,13.0,0.0134,0.0
N15,15,7,6.7973e-06,13.0,0.0134,0.0
O16,16,8,0.24337,13.0,0.0134,0.0
O17,17,8,5.5634e-05,13.0,0.0134,0.0
O18,18,8,0.0036455,13.0,0.0134,0.0
F19,19,9,3.6757e-06,13.0,0.0134,0.0
Ne20,20,10,0.038117,13.0,0.0134,0.0
Ne21,21,10,7.4539e-05,13.0,0.0134,0.0
Ne22,22,10,0.0074828,13.0,0.0134,0.0
Na23,23,11,0.0010372,13.0,0.0134,0.0
Mg24,24,12,0.018317,13.0,0.0134,0.0
Mg25,25,12,0.0015868,13.0,0.0134,0.0
Mg26,26,12,0.0019316,13.0,0.0134,0.0
Al27,27,13,0.0020263,13.0,0.0134,0.0
Si28,28,14,0.065992,13.0,0.0134,0.0
Si29,29,14,0.0013367,13.0,0.0134,0.0
Si30,30,14,0.0022603,13.0,0.0134,0.0
P31,31,15,0.00045199,13.0,0.0134,0.0
S32,32,16,0.027089,13.0,0.0134,0.0
S33,33,16,0.00020567,13.0,0.0134,0.0
S34,34,16,0.0016552,13.0,0.0134,0.0
S36,36,16,1.1162e-06,13.0,0.0134,0.0
Cl35,35,17,0.00014486,13.0,0.0134,0.0
Cl37,37,17,3.8361e-05,13.0,0.0134,0.0
Ar36,36,18,0.0048911,13.0,0.0134,0.0
Ar38,38,18,0.00065969,13.0,0.0134,0.0
Ar40,40,18,3.4895e-07,13.0,0.0134,0.0
K39,39,19,6.7858e-05,13.0,0.0134,0.0
K40,40,19,2.5481e-07,13.0,0.0134,0.0
K41,41,19,6.1211e-06,13.0,0.0134,0.0
Ca40,40,20,0.0044365,13.0,0.0134,0.0
Ca42,42,20,2.099e-05,13.0,0.0134,0.0
Ca43,43,20,1.7486e-06,13.0,0.0134,0.0
Ca44,44,20,4.4183e-05,13.0,0.0134,0.0
Ca46,46,20,1.1412e-07,13.0,0.0134,0.0
Ca48,48,20,1.6101e-06,13.0,0.0134,0.0
Sc45,45,21,1.0699e-06,13.0,0.0134,0.0
Ti46,46,22,1.1221e-05,13.0,0.0134,0.0
Ti47,47,22,3.4348e-06,13.0,0.0134,0.0
Ti48,48,22,0.00010703,13.0,0.0134,0.0
Ti49,49,22,6.0404e-06,13.0,0.0134,0.0
Ti50,50,22,2.3757e-06,13.0,0.0134,0.0
V50,50,23,4.2259e-08,13.0,0.0134,0.0
